"level","outcome","pass","style","rescueNo","source","granted","mode","intent","statedPct","targetPct","feasible","frustBefore","boardBefore","boardAfter","cardsDealt","cardsCleared","cardsOpened","deadCards","worstBlankRun","emptyRunNow","unspent","quality","outcome2","won"
"L1","Close Lose","1","greedy","1","+3 ad","3","near","almost","23","23","yes","0","3","2","3","1","0","2","2","0","0","23","Near win","no"
"L1","Close Lose","1","greedy","2","+5 coins","5","hope","almost","35","35","yes","0","2","2","5","0","0","5","5","1","0","0","No recovery","no"
"L1","Close Lose","1","greedy","3","+3 ad","3","clutch","almost","47","47","yes","1","2","2","3","0","0","3","3","2","0","0","No recovery","no"
"L1","Close Lose","1","greedy","4","+5 coins","5","clutch","win","98","98","yes","2","2","0","1","2","0","0","0","0","0","44","Immediate win","yes"
"L1","Close Lose","1","random","1","+3 ad","3","bal","almost","23","23","yes","0","3","2","3","1","0","2","2","0","0","23","Near win","no"
"L1","Close Lose","1","random","2","+5 coins","5","tension","almost","35","35","yes","0","2","2","5","0","0","5","5","1","0","0","No recovery","no"
"L1","Close Lose","1","random","3","+3 ad","3","clutch","almost","47","47","yes","1","2","2","3","0","0","3","3","2","0","0","No recovery","no"
"L1","Close Lose","1","random","4","+5 coins","5","hope","win","98","98","yes","2","2","0","1","2","0","0","0","0","0","44","Immediate win","yes"
"L1","Close Lose","1","safe","1","+3 ad","3","clutch","almost","23","23","yes","0","3","2","3","1","0","2","2","0","0","23","Near win","no"
"L1","Close Lose","1","safe","2","+5 coins","5","near","almost","35","35","yes","0","2","2","5","0","0","5","5","1","0","0","No recovery","no"
"L1","Close Lose","1","safe","3","+3 ad","3","hope","win","47","47","yes","1","2","0","1","2","0","0","0","0","0","44","Immediate win","yes"
"L1","Close Lose","1","sloppy","1","+3 ad","3","clutch","almost","23","23","yes","0","3","2","3","1","0","2","2","0","0","23","Near win","no"
"L1","Close Lose","1","sloppy","2","+5 coins","5","clutch","win","35","35","yes","0","2","0","1","2","0","0","0","0","0","44","Immediate win","yes"
"L1","Comfortable Lose","1","greedy","1","+3 ad","3","hope","progress","0","23","no","0","8","5","3","3","0","0","0","0","0","27","Partial comeback","no"
"L1","Comfortable Lose","1","greedy","2","+5 coins","5","tension","win","35","35","yes","0","5","0","3","5","0","0","0","0","0","66","Rescue win","yes"
"L1","Comfortable Lose","1","random","1","+3 ad","3","clutch","progress","0","23","no","0","8","5","3","3","0","0","0","0","0","27","Partial comeback","no"
"L1","Comfortable Lose","1","random","2","+5 coins","5","near","win","35","35","yes","0","5","0","3","5","0","0","0","0","0","66","Rescue win","yes"
"L1","Comfortable Lose","1","safe","1","+3 ad","3","almost","progress","0","23","no","0","8","4","3","4","0","0","0","0","0","36","Strong progress","no"
"L1","Comfortable Lose","1","safe","2","+5 coins","5","hope","win","35","35","yes","0","4","0","3","4","0","0","0","0","0","62","Rescue win","yes"
